authour,category,date,push,title,url
jimluvssally,4, 5/15,16,活動   政 大黑 音不誤 正業 最 終場 演唱 會,/bbs/Hip-Hop/M.1557916310.A.579.html
balcony5566,8, 5/15,30,新聞   金曲 獎第 30 屆入 圍名 單嘻哈 相關 部分,/bbs/Hip-Hop/M.1557923619.A.84D.html
HLCK99,3, 5/15,3,音樂   左翼 連線 靠北 文化,/bbs/Hip-Hop/M.1557933792.A.C65.html
qwtl0213,3, 5/12,11,音樂   歌詞 翻譯   Kendrick   Lamar     mAAd   City,/bbs/Hip-Hop/M.1557674151.A.D42.html
dream21504,5, 5/13,33,討論   有 沒 有 推薦 的 菸 嗓女 饒 舌 歌手,/bbs/Hip-Hop/M.1557679447.A.868.html
MrTang,11, 5/13,7,Boom   Bap 介紹,/bbs/Hip-Hop/M.1557735616.A.CA1.html
KarlMarx,3, 5/08,2,音樂   DoughBoy     不 相信 任何人 ftTommy   Groov,/bbs/Hip-Hop/M.1557328680.A.A65.html
KarlMarx,3, 5/08,18,音樂   Denzel   Curry     RICKY  ,/bbs/Hip-Hop/M.1557329092.A.124.html
mooks,3, 5/09,6,音樂   Beenzino     OKGO     Feat     E   SENS,/bbs/Hip-Hop/M.1557394845.A.E62.html
aoao3333,3, 5/09,1,音樂   Qveen   Herby     Mozart   feat   Blimes   Gif,/bbs/Hip-Hop/M.1557403444.A.F81.html
polobolo,3, 5/04,1,音樂   LUYIVINCENTGHOST,/bbs/Hip-Hop/M.1556951394.A.447.html
KarlMarx,3, 5/04,3,音樂   西奧 Sio     著魔,/bbs/Hip-Hop/M.1556971934.A.9B5.html
tj41233,5, 5/04,26,討論   國蛋 專訪 解密 嘻哈 囝 潛藏 的 心裡 日記,/bbs/Hip-Hop/M.1556981428.A.60A.html
Mace2004,10, 4/30,6,Re   討論   如何 對 新手 介紹嘻哈,/bbs/Hip-Hop/M.1556638898.A.8E7.html
a54965,3, 5/01,20,音樂   高爾宣   OSN   Runaway,/bbs/Hip-Hop/M.1556642727.A.123.html
TFKC5566,3, 5/01,12,音樂   黃 右 年   ASSKiD     笑 一個   Smile,/bbs/Hip-Hop/M.1556652287.A.5FA.html
m870925,7, 5/01,2,創作   DBAAhip   hop   4   life   featTia,/bbs/Hip-Hop/M.1556694948.A.A31.html
yuxds,8, 5/13,2,新聞   街舞 進總統府   小英 這個 手勢 笑 翻 全場 …,/bbs/Hip-Hop/M.1557747108.A.E95.html
hustler0214,3, 5/13,2,音樂   台藝嘻研 歌曲 分享,/bbs/Hip-Hop/M.1557748677.A.BEF.html
bonebonebone,3, 5/13,5,音樂   韓森 韓老師 這裡 Remix,/bbs/Hip-Hop/M.1557755902.A.B7A.html
wei821011,3, 5/13,5,音樂 BG8LOCCHAME   HAMEfeatSHINE   G 银舌 19  ,/bbs/Hip-Hop/M.1557761326.A.7CF.html
pi98881123,6, 5/09,8,問題   求 推薦 boombap   beats,/bbs/Hip-Hop/M.1557406959.A.E3F.html
KarlMarx,3, 5/09,1,音樂   Russ     Civil   War   MV,/bbs/Hip-Hop/M.1557413802.A.ADE.html
bluebloods,11, 5/09,2,徵求 511 高雄義大硬 底子 有 Guts 音樂 趴,/bbs/Hip-Hop/M.1557416023.A.CD0.html
bbsbbbbsbb,3, 5/10,2,音樂   光哥 貼 音樂     最兇 殘 的 RapperGhostemane,/bbs/Hip-Hop/M.1557418578.A.2A2.html
borg110878,5, 5/10,9,討論   MC   Hot   DogDo   You   Remember   歌詞 討論,/bbs/Hip-Hop/M.1557419344.A.CAA.html
zaxs1594,7, 5/10,2,創作   王郁文     Hermit   Crab,/bbs/Hip-Hop/M.1557423821.A.622.html
tieamonk,3, 5/05,5,音樂   Lil   Xan     Midnight   in   Prague,/bbs/Hip-Hop/M.1556998505.A.8C1.html
howdie824,3, 5/05,6,音樂   Triple   A3A 的貨 ftLC,/bbs/Hip-Hop/M.1557004651.A.38C.html
qwtl0213,3, 5/05,3,音樂   歌詞 翻譯   Kendrick   Lamar     DUCKWORTH,/bbs/Hip-Hop/M.1557060415.A.141.html
ff704,3, 5/01,1,音樂   Vin   Jay     Momble   Rapper   vs   Lyrcist,/bbs/Hip-Hop/M.1556701231.A.B8C.html
melcris,3, 5/01,6,音樂   D   Rebound   99   五月份 饒舌 推薦 歌單,/bbs/Hip-Hop/M.1556703730.A.466.html
sclbtlove,3, 5/01,29,音樂   Dusa   x   小魚   x   就 已 Joey   Huang     說 再 見,/bbs/Hip-Hop/M.1556706160.A.C00.html
tieamonk,5, 5/01,52,討論   醬 爆 弟弟   鋃鐺入 獄,/bbs/Hip-Hop/M.1556708808.A.B70.html
qwtl0213,3, 4/29,8,音樂   中文 翻譯   Kendrick   Lamar     LOVE,/bbs/Hip-Hop/M.1556472398.A.B33.html
elecAEM,3, 5/10,8,音樂   Popo   JLOSER,/bbs/Hip-Hop/M.1557435132.A.F1C.html
setom,3, 5/05,14,音樂   StomachBadBoy     發大財,/bbs/Hip-Hop/M.1557065772.A.E9B.html
qqqq123,7, 5/05,3,創作   WAY     風箏,/bbs/Hip-Hop/M.1557068225.A.A5A.html
derder9,7, 5/05,42,創作   自己 做 的 beat,/bbs/Hip-Hop/M.1557069082.A.C83.html
I830928s,3, 5/06,5,音樂   YGGo   Loko   FT   TygaJon   Z,/bbs/Hip-Hop/M.1557110605.A.D4F.html
chunx2,3, 5/02,9,音樂   嘉藥 嘻 研社 CNU   HIPHOP     717,/bbs/Hip-Hop/M.1556728319.A.771.html
qwtl0213,3, 5/02,3,音樂   歌詞 翻譯     Kendrick   Lamar     FEAR,/bbs/Hip-Hop/M.1556732893.A.13C.html
yixiang921,5, 5/02,37,討論   2019   Billboard   Music   Award  ,/bbs/Hip-Hop/M.1556770124.A.AD8.html
natsuNohe,3, 5/03,7,音樂   TJKid     清醒 夢   Lucid   Dream   MV,/bbs/Hip-Hop/M.1556818004.A.E41.html
z22970164,3, 4/29,3,音樂 Peach     Kevin   Abstract  ,/bbs/Hip-Hop/M.1556477624.A.2C5.html
sclbtlove,3, 4/29,2,音樂   YGZ 孤 軍 1949  ,/bbs/Hip-Hop/M.1556520153.A.5EA.html
sclbtlove,3, 4/29,2,音樂   CHILLBAKA   YOU   MADE   IT  ,/bbs/Hip-Hop/M.1556527914.A.6CE.html
KarlMarx,3, 4/29,5,音樂   西奧 Sio     Mr   Boring   ft   李沫 萱,/bbs/Hip-Hop/M.1556546090.A.F63.html
berton1679,3, 4/27,12,音樂   熱狗   改變,/bbs/Hip-Hop/M.1556335606.A.948.html
sclbtlove,3, 4/27,10,音樂   JAYRoll     Saturday   Nights,/bbs/Hip-Hop/M.1556339881.A.985.html
yixiang921,3, 5/06,爆,音樂   MC   HotDog   熱狗 Do   You   Rememberer,/bbs/Hip-Hop/M.1557115716.A.47D.html
rainnawind,6, 5/06,62,問題   跟 一群 完全 不 聽嘻哈 的 人介紹 蛋堡,/bbs/Hip-Hop/M.1557123911.A.FD7.html
KarlMarx,3, 5/06,50,音樂   陳 嫺 靜     Call   In   計劃   ep01   問題 先生,/bbs/Hip-Hop/M.1557156696.A.6FB.html
KarlMarx,3, 5/06,5,音樂   Vigoz   x   GetPay     化妝舞會   MV,/bbs/Hip-Hop/M.1557157202.A.175.html
tieamonk,3, 5/03,46,音樂   LogicEminemHomicide,/bbs/Hip-Hop/M.1556857015.A.5F7.html
jimluvssally,3, 5/03,25,音樂   範例 三   x   辰旭 Keyno 光 與 影關 於 你,/bbs/Hip-Hop/M.1556876607.A.E6B.html
melcris,3, 5/03,3,音樂   stu   sis   五月份 推薦 歌曲 懶人包  ,/bbs/Hip-Hop/M.1556881312.A.CF5.html
KarlMarx,10, 5/03,37,Re   討論   小人 參戰 新 說 唱 第二季,/bbs/Hip-Hop/M.1556894450.A.EE4.html
KarlMarx,3, 5/03,14,音樂   Joyner   Lucas     Devils   Work   ADHD,/bbs/Hip-Hop/M.1556895262.A.867.html
killger,3, 5/03,10,音樂   高大 嘻研   AT     Refresh   featDOTS,/bbs/Hip-Hop/M.1556898708.A.4A4.html
ccXVI,3, 4/29,2,音樂   Yo   MTV   Raps   Cypher   Asia,/bbs/Hip-Hop/M.1556546823.A.C92.html
Ian881219,5, 4/29,5,討論   小人 到底 有 沒 有 晉級 啊,/bbs/Hip-Hop/M.1556548021.A.CEF.html
danny901203,4, 4/30,36,活動   2019   EPIK   HIGH   in   TAIPEI,/bbs/Hip-Hop/M.1556593405.A.F17.html
abc1212050,3, 4/27,5,音樂   AAP   RockyJoey   Bada     Too   Many   Gods,/bbs/Hip-Hop/M.1556346503.A.515.html
killger,3, 4/27,18,音樂   高大 嘻研   DOTSRola,/bbs/Hip-Hop/M.1556352532.A.BBA.html
a866662,8, 4/27,6,新聞 中國 新 說 唱 2   海選 結果 出爐,/bbs/Hip-Hop/M.1556352694.A.FC7.html
kakaloto,5, 4/27,6,討論   豹子 膽劇情 瑕疵 的 部分,/bbs/Hip-Hop/M.1556353471.A.804.html
nicky1245,10, 4/27,33,Re   新聞 中國 新 說 唱 2   海選 結果 出爐 有雷,/bbs/Hip-Hop/M.1556354772.A.F4B.html
moy5566,5, 4/27,15,討論   美劇 warrior   片尾曲,/bbs/Hip-Hop/M.1556362968.A.9B7.html
jimluvssally,3, 4/25,4,音樂     EASYSHOPx 政 大黑 音給 你 的媽,/bbs/Hip-Hop/M.1556194319.A.34F.html
handsome0716,6, 4/25,29,問題   Trap 的 定義是 什麼,/bbs/Hip-Hop/M.1556196006.A.DCD.html
shuffling,3, 4/25,34,音樂   藍色 的 夢   異鄉 人   國蛋,/bbs/Hip-Hop/M.1556197700.A.18A.html
k45446123,5, 4/25,62,討論   小人 參戰 新 說 唱 第二季,/bbs/Hip-Hop/M.1556198430.A.ADE.html
KarlMarx,3, 5/06,7,音樂   AQx8LANxHanJ     高雄 發大財,/bbs/Hip-Hop/M.1557157797.A.180.html
max90283,3, 5/07,1,音樂   Josh   A,/bbs/Hip-Hop/M.1557163758.A.D12.html
godtone0908,3, 5/07,16,音樂   BP   from   HLC   x   福樓 Oh   Ah,/bbs/Hip-Hop/M.1557224242.A.738.html
cze71210,9, 4/30,11,趣味   猜 一首歌 詞有 復 仇者 聯盟 演員 的 歌,/bbs/Hip-Hop/M.1556604550.A.A1E.html
bbsbbbbsbb,3, 4/30,1,音樂   KOTA   The   Friend     BIRDIE   光哥 貼 音樂,/bbs/Hip-Hop/M.1556614436.A.FD0.html
Luvsic,3, 4/30,3,音樂   老莫謝 明諺 Dudu   KingDJ   Kool   Klo,/bbs/Hip-Hop/M.1556624276.A.6C7.html
KHAXVII,3, 4/27,2,音樂 BoB     Soul   Glo,/bbs/Hip-Hop/M.1556378690.A.B57.html
melcris,5, 4/27,5,討論 Lil   DickyEarth 裡面 的 角色 與 歌 詞神 關連,/bbs/Hip-Hop/M.1556379861.A.3BD.html
Osama,3, 4/28,13,音樂林 老師 feat 笠 豪 我 愛 金毛,/bbs/Hip-Hop/M.1556396527.A.F0B.html
yuxds,10, 4/28,5,Re   新聞大支 懶理 中國 有嘻哈   跳級舉 辦亞洲 高峰 會  ,/bbs/Hip-Hop/M.1556423035.A.96C.html
pyramidinc,6, 4/25,16,問題   有 沒 有 像 Rich   Brian     History 的 歌,/bbs/Hip-Hop/M.1556202634.A.088.html
joywilliamjo,3, 4/26,2,音樂 tygachrisbrownXmarshmellolight   it   up,/bbs/Hip-Hop/M.1556237859.A.4F0.html
a72842182,10, 4/26,36,Re   討論   小人 參戰 新 說 唱 第二季,/bbs/Hip-Hop/M.1556240408.A.00B.html
bonebonebone,3, 4/26,37,音樂   熊仔夢想 成真,/bbs/Hip-Hop/M.1556251935.A.8A7.html
Artistam,3, 4/26,3,音樂   Night   Lovell  ,/bbs/Hip-Hop/M.1556255082.A.BAA.html
brad0625,3, 4/22,5,音樂   許軒   Dubo   H   X   卡布 伊 KaBul   麟 光乍現 h,/bbs/Hip-Hop/M.1555940420.A.EC8.html
sclbtlove,9, 4/22,19,趣味 阿滴 英文   饒舌 歌曲 搶 答賽 feat 熊仔  ,/bbs/Hip-Hop/M.1555942316.A.2FF.html
GuiltyConsci,4, 4/22,5,活動   用貓 砂養 音樂 陳 小律 的 廠牌 經營,/bbs/Hip-Hop/M.1555943327.A.FE5.html
leonmarsman,3, 4/23,10,音樂   熱狗 新 專輯 預告,/bbs/Hip-Hop/M.1555952556.A.134.html
fanssica,3, 4/30,7,音樂   21savageball   wo   you,/bbs/Hip-Hop/M.1556626589.A.80F.html
Workshy,3, 4/30,2,音樂   WTFHK     LMF,/bbs/Hip-Hop/M.1556628666.A.725.html
a31018145,5, 4/30,3,討論   專輯 介紹   歐洲 GFunk 製 作 人 RTNFunk   Tion,/bbs/Hip-Hop/M.1556628793.A.679.html
ericute,5, 4/30,17,討論   有人 知道   Rflow 現況 嗎,/bbs/Hip-Hop/M.1556630008.A.ECC.html
jimluvssally,3, 4/28,7,音樂   BE   SELFISH ＿ 桃子 A1J,/bbs/Hip-Hop/M.1556432112.A.52A.html
tony78545,4, 4/28,27,活動   急徵 今日 國蛋   救救 忘記 帶票 的 人 白痴,/bbs/Hip-Hop/M.1556436840.A.794.html
sean1004,7, 4/28,1,創作   每天 都 想 耍 廢,/bbs/Hip-Hop/M.1556445354.A.C73.html
KarlMarx,3, 4/26,8,音樂   CBLOCK 大 傻 Damnshine     更上,/bbs/Hip-Hop/M.1556260499.A.857.html
KarlMarx,3, 4/26,2,音樂   挑戰 challenge 刺 蝟 兄弟 2019cypher,/bbs/Hip-Hop/M.1556261803.A.74D.html
takashi01,6, 4/26,3,問題   有 沒 有 那種 吃魚 喝茶 的 饒 舌,/bbs/Hip-Hop/M.1556268688.A.A92.html
terry1573,3, 4/26,1,音樂     SOBOY     睡美人   Prod   Goldink,/bbs/Hip-Hop/M.1556279152.A.34F.html
tieamonk,5, 4/23,44,討論   YNW   Melly 被 佛州 檢警求 處 死刑,/bbs/Hip-Hop/M.1555955789.A.1C5.html
fivesevenarm,3, 4/23,6,音樂   Lu1Just   Say   So   Official   Music   Video,/bbs/Hip-Hop/M.1555994177.A.8DB.html
jezzy30735,3, 4/23,30,音樂   BP   from   HLC     東 海岸,/bbs/Hip-Hop/M.1556001702.A.1AC.html
johnny1212,3, 4/23,61,音樂   Ian   ft   Jnco   金毛   ft   荊軻     Still   reppin   NCTU   之   交大,/bbs/Hip-Hop/M.1556014717.A.61D.html
handsome0716,3, 4/20,1,音樂   LIZER   俄羅斯語,/bbs/Hip-Hop/M.1555742151.A.5AA.html
huatf111,3, 4/20,5,音樂 SavageM     Good   Things   Will   Come   Hustle,/bbs/Hip-Hop/M.1555766496.A.CA9.html
qwer01289,3, 4/20,2,音樂   Bexey     HOT   STEPPA,/bbs/Hip-Hop/M.1555771594.A.D4A.html
johncena,5, 4/30,17,討論   bowz 是不是 專輯 發售 那天 就 死 透 了,/bbs/Hip-Hop/M.1556635190.A.6A2.html
threebangz,3, 4/28,15,音樂   水神 Zeowater 雙人秀 ftHoward,/bbs/Hip-Hop/M.1556449463.A.629.html
penny1112,7, 4/28,1,創作   Hobrew 負心漢    ,/bbs/Hip-Hop/M.1556457949.A.124.html
KarlMarx,5, 4/28,66,討論   中國 新 說 唱 第二季 海選 晉級 名單,/bbs/Hip-Hop/M.1556459317.A.F68.html
threebangz,3, 4/26,10,音樂   CHING   G   SQUADsay   no   more,/bbs/Hip-Hop/M.1556280302.A.E74.html
godtone0908,3, 4/26,8,音樂   心事 誰 人知   feat 三小湯,/bbs/Hip-Hop/M.1556294246.A.DED.html
pttfaywu,5, 4/27,19,討論   BOWZ   IG,/bbs/Hip-Hop/M.1556294657.A.445.html
ssss5566,11, 4/27,1,易四 Yves 日 曆 又 翻 了 幾頁 feat 痞爺,/bbs/Hip-Hop/M.1556297004.A.7EC.html
howdie824,3, 4/24,6,音樂   pony5ibeI   cant,/bbs/Hip-Hop/M.1556041768.A.AB2.html
huatf111,3, 4/24,8,音樂   Tyga     Goddamn,/bbs/Hip-Hop/M.1556048075.A.6F8.html
Sha1377,9, 4/24,8,趣味   熱狗 微博,/bbs/Hip-Hop/M.1556075507.A.8C0.html
yixiang921,3, 4/24,3,音樂   Lil   Uzi   VertThats   A   Rack,/bbs/Hip-Hop/M.1556079691.A.2BE.html
opop1019,3, 4/20,4,音樂   GJIA     瑪麗 想要   Mary   Wanna,/bbs/Hip-Hop/M.1555774255.A.141.html
spursmanu,5, 4/20,69,討論   今天 在 legacy 的 國蛋 專場,/bbs/Hip-Hop/M.1555775002.A.73E.html
dannytang850,3, 4/21,22,音樂   湯捷 Live   at   Legacy   2832019,/bbs/Hip-Hop/M.1555776945.A.592.html
rrrivz,10, 4/21,19,Re   討論   今天 在 legacy 的 國蛋 專場,/bbs/Hip-Hop/M.1555779278.A.062.html
qwtl0213,3, 4/21,1,音樂   epic   rap   battle   of   history     金鋼 狼 vs,/bbs/Hip-Hop/M.1555829089.A.95F.html
KarlMarx,3, 4/21,4,音樂   Zoe   The   Chef   Cynical   Boyz     VIBING,/bbs/Hip-Hop/M.1555835874.A.A7A.html
KarlMarx,3, 4/18,3,音樂   奎仔 MarVelMan 星際 玩家   feat   翰弟,/bbs/Hip-Hop/M.1555597973.A.346.html
KarlMarx,3, 4/18,2,音樂 Puff   Puff   PassWho   Is   Next119   Remi,/bbs/Hip-Hop/M.1555598828.A.8AA.html
KarlMarx,3, 4/18,7,音樂   CBLOCK 李沫 萱     Walking   On   My   Way,/bbs/Hip-Hop/M.1555599274.A.61F.html
yoyo71,3, 4/18,9,音樂   開水 小姐   feat   Q 毛萬     路過 人間 Cover,/bbs/Hip-Hop/M.1555599536.A.DA6.html
warchero,5, 4/28,32,討論   如何 對 新手 介紹嘻哈,/bbs/Hip-Hop/M.1556466778.A.000.html
producer2142,3, 4/29,1,音樂   Round2   feat   王嘉爾   筷子,/bbs/Hip-Hop/M.1556467804.A.284.html
bbsbbbbsbb,3, 4/24,3,音樂   台灣 饒 舌 新星   Pony5ibe   影片 介紹   光哥 貼 音樂,/bbs/Hip-Hop/M.1556099396.A.A1E.html
yuxds,5, 4/24,57,討論   中國 新 說 唱   導師 名單,/bbs/Hip-Hop/M.1556102590.A.792.html
I830928s,3, 4/25,4,音樂   YG     Stop   Snitchin,/bbs/Hip-Hop/M.1556131566.A.FD7.html
Rjunkai,5, 4/21,34,討論   節奏性 較強 的 rap,/bbs/Hip-Hop/M.1555836363.A.E65.html
Fuzishan,3, 4/21,3,音樂   Lil   Jet     我 真的 沒想 好,/bbs/Hip-Hop/M.1555837445.A.AF2.html
aa50638,3, 4/21,3,音樂   啪啪 都 慢慢   ftExcel   papa96BoyzVania,/bbs/Hip-Hop/M.1555848826.A.2B3.html
hustler0214,3, 4/21,6,音樂   台藝嘻研 RTM   新 歌 分享,/bbs/Hip-Hop/M.1555855075.A.598.html
jimluvssally,3, 4/19,4,音樂   範例 三 Keep   on   walking,/bbs/Hip-Hop/M.1555604188.A.934.html
messigoal10,5, 4/19,26,討論   大 傻 劉聰 參加 新 說 唱,/bbs/Hip-Hop/M.1555606964.A.7D7.html
tieamonk,3, 4/19,46,音樂   Lil   Dicky     Earth,/bbs/Hip-Hop/M.1555648572.A.586.html
TFKC5566,3, 4/19,29,音樂   吳亦凡 大碗 寬 麵 新歌,/bbs/Hip-Hop/M.1555650189.A.5B3.html
shane81004,3, 4/14,49,音樂   Juice   Boy8lakParadise,/bbs/Hip-Hop/M.1555252542.A.6C5.html
KarlMarx,3, 4/14,1,音樂   于意 YEE     戰鬥,/bbs/Hip-Hop/M.1555253735.A.37F.html
sarshia,4, 4/15,34,活動   徵   420 國蛋 Legacy   1 張,/bbs/Hip-Hop/M.1555299796.A.975.html
k45446123,10, 4/15,12,Re   音樂   Juice   Boy8lakParadise,/bbs/Hip-Hop/M.1555303148.A.ED0.html
LamentBoy,5, 4/25,22,討論   台灣 有 類似 VMC 的 團嗎,/bbs/Hip-Hop/M.1556165843.A.9BC.html
js2a117573,3, 4/21,8,音樂   Pony5ibe   COLDFull   Mixtape,/bbs/Hip-Hop/M.1555857206.A.D58.html
pan0531,3, 4/22,3,音樂   Mc   Jin     CBLOCK   Freestyle,/bbs/Hip-Hop/M.1555865041.A.058.html
alanlingod,5, 4/22,5,討論   馬 來 魔 贏下 中國 新 說 唱 東南亞 賽區,/bbs/Hip-Hop/M.1555902205.A.B84.html
transform157,5, 4/19,69,討論   提升 讀書動力 的 歌,/bbs/Hip-Hop/M.1555652487.A.DE3.html
fanssica,3, 4/19,2,音樂   Tech   N9NE     N9NA,/bbs/Hip-Hop/M.1555659654.A.D06.html
chunx2,3, 4/19,23,音樂   Trout   Fresh 呂士軒   愛吃味,/bbs/Hip-Hop/M.1555667720.A.7A4.html
melcris,3, 4/19,1,音樂   devil   x   Gucciwagger   歌曲 分享,/bbs/Hip-Hop/M.1555668337.A.B66.html
whasonserh,6, 4/15,29,問題   國蛋 週邊 商品 代購,/bbs/Hip-Hop/M.1555312607.A.65B.html
tanp23lj,3, 4/15,8,音樂   PEATLE     I   Cant   Sleep,/bbs/Hip-Hop/M.1555334228.A.B9F.html
aw910508,7, 4/15,8,創作   和 朋友 的 創作   天母 製 造 JUICY,/bbs/Hip-Hop/M.1555336357.A.D6A.html
bbsbbbbsbb,3, 4/16,10,音樂   KOHH     I   Want   a   Billion   光哥 貼 音樂,/bbs/Hip-Hop/M.1555403865.A.1AC.html
tieamonk,5, 4/10,6,討論   Blackjezuss 被 槍 殺 判定 腦死,/bbs/Hip-Hop/M.1554875041.A.D69.html
vermilionred,4, 4/10,4,活動   Puff   Puff   PassWho   Is   Next,/bbs/Hip-Hop/M.1554885169.A.3F4.html
huatf111,3, 4/11,6,音樂   Juice   WRLD     Fast,/bbs/Hip-Hop/M.1554915925.A.6F0.html
yji3vu4gj4,5, 4/11,46,討論   人人 有功 練 的 小人,/bbs/Hip-Hop/M.1554946256.A.9DF.html
Sha1377,9, 4/22,1,趣味   瘦子 專訪 show,/bbs/Hip-Hop/M.1555930978.A.A30.html
wei821011,3, 4/22,14,音樂 BG8LoccthaeihtTriple   6   TR666   Remix,/bbs/Hip-Hop/M.1555934824.A.4A2.html
zzzz12zz,7, 4/19,2,創作   DJ   Didilong   Type   Beats   prodWayne,/bbs/Hip-Hop/M.1555679905.A.EA9.html
shuweition,3, 4/20,4,音樂   熱狗 失眠 是 壹種 病   我 是 唱 作人 EP2,/bbs/Hip-Hop/M.1555690294.A.98B.html
shuweition,3, 4/20,2,音樂   王源 吆 不到 臺   我 是 唱 作人 EP2,/bbs/Hip-Hop/M.1555690453.A.373.html
RickyLeeeee,4, 4/16,爆,活動   熊心豹子 膽,/bbs/Hip-Hop/M.1555418594.A.D0A.html
moy5566,5, 4/11,5,討論   21savage   被 放 了,/bbs/Hip-Hop/M.1554950569.A.B7B.html
u9912114,3, 4/11,4,音樂 Lil   Peep     ILoveMakonnen   feat   Fall   Out,/bbs/Hip-Hop/M.1554980928.A.670.html
howdie824,9, 4/11,19,趣味   GF   talk   show 三分 鐘教 你 霸氣 饒 舌,/bbs/Hip-Hop/M.1554995602.A.48A.html
u9912114,3, 4/07,13,音樂   戰犯   八八 男   Feat 萬能 麥斯   下班 兄弟,/bbs/Hip-Hop/M.1554636650.A.FE4.html
tree717,3, 4/20,11,音樂   Bastard   Marley   feat     GNO   麻仔 情人,/bbs/Hip-Hop/M.1555692153.A.D69.html
huatf111,3, 4/20,5,音樂   Rosa     咳 God   SouuGod   Feat   JAYRoll,/bbs/Hip-Hop/M.1555714675.A.83F.html
Drake5566,3, 4/20,6,音樂   Wiz   Khalifa     Fly   Times   Vol   1   The   G,/bbs/Hip-Hop/M.1555735505.A.AB8.html
KarlMarx,3, 4/16,1,音樂   MC 光光     senzu   bean   仙豆,/bbs/Hip-Hop/M.1555428190.A.E84.html
yji3vu4gj4,5, 4/17,22,討論   中國 新 說 唱   2   的 導師,/bbs/Hip-Hop/M.1555465116.A.9F6.html
brucep,10, 4/12,2,Re   音樂   Lil   Nas   X     Old   Town   Road,/bbs/Hip-Hop/M.1555038740.A.86F.html
Ian881219,5, 4/12,1,討論   精總限時,/bbs/Hip-Hop/M.1555051674.A.8B2.html
KarlMarx,10, 4/07,10,Re   音樂   Lil   Nas   X     Old   Town   Road,/bbs/Hip-Hop/M.1554638331.A.07B.html
penny1112,7, 4/07,5,創作   Hobrew 韓流 來襲,/bbs/Hip-Hop/M.1554645349.A.F50.html
melcris,3, 4/03,45,音樂   D   Rebound   99   四月份 饒舌 推薦 歌單,/bbs/Hip-Hop/M.1554287683.A.D96.html
KarlMarx,3, 4/03,3,音樂   KungFuPen 功夫 胖 Ranzer     YUNG   LIT   WAY,/bbs/Hip-Hop/M.1554298134.A.B16.html
xu35l,3, 4/17,36,音樂   走到 飛   非洲 版,/bbs/Hip-Hop/M.1555468094.A.4F7.html
theBATMAN56,6, 4/17,14,問題   有 像 swimming   這種 軟軟 風格 的 推薦 嗎,/bbs/Hip-Hop/M.1555483033.A.6BB.html
threebangz,5, 4/17,26,討論   婁峻 碩 ig,/bbs/Hip-Hop/M.1555493364.A.85D.html
Ian881219,5, 4/17,7,討論   有類 似 zenbo 魚仔 的 歌 嗎,/bbs/Hip-Hop/M.1555509730.A.83E.html
OIHIO,3, 4/12,2,音樂   田鎬 TAM 火鳥,/bbs/Hip-Hop/M.1555062181.A.BA2.html
berton1679,9, 4/12,9,趣味   王 以太 PACT 謝帝     SwayInTheMorning,/bbs/Hip-Hop/M.1555079762.A.88B.html
Tharp,3, 4/13,58,音樂   熱狗     Hip   Hop 沒有 派 對,/bbs/Hip-Hop/M.1555091452.A.FC1.html
fireman666,11, 4/13,7,R   Han     妳 曾過 去 式   ft   Lil   TONY,/bbs/Hip-Hop/M.1555157036.A.7EB.html
chunx2,5, 4/07,8,討論   Makingof 夢想 成真   神視 角幕 後 花絮 vol3,/bbs/Hip-Hop/M.1554646121.A.72E.html
x00philip,6, 4/07,1,問題   詢問   RJ   Vlog 中 的 背景 音樂,/bbs/Hip-Hop/M.1554646746.A.3FC.html
I830928s,3, 4/04,3,音樂     DaBabybabysitter   featOffset,/bbs/Hip-Hop/M.1554307885.A.D97.html
TFKC5566,3, 4/04,9,音樂   KY   Hou 特別 的 笨,/bbs/Hip-Hop/M.1554323206.A.51E.html
mailman,10, 4/04,32,Re   討論   台灣 饒 舌 歌手 是不是 該 快點 寫些 diss 政治 的,/bbs/Hip-Hop/M.1554353880.A.13C.html
yujimin,10, 3/31,5,Re   討論   給愛麗絲 MV   幕 後 花絮,/bbs/Hip-Hop/M.1554038119.A.5CC.html
KarlMarx,3, 4/17,2,音樂   Offset   ft   Cardi   B     Clout  ,/bbs/Hip-Hop/M.1555515179.A.45B.html
a31018145,11, 4/18,6,淺談 西岸 嘻哈歌 詞之爭議,/bbs/Hip-Hop/M.1555524286.A.1E3.html
asapken,5, 4/18,20,討論   asap   rocky 不來 了,/bbs/Hip-Hop/M.1555559791.A.C39.html
jamiro0000,3, 4/14,7,音樂   凜冬將 至 K 院长 西奥 法老 小 杏仁 梁维嘉,/bbs/Hip-Hop/M.1555230767.A.C6F.html
shane81004,3, 4/14,7,音樂   Jaden   SmithSOHO,/bbs/Hip-Hop/M.1555232935.A.CD6.html
s3915823,3, 4/14,5,音樂   LukRayXouXanHANG   TEN,/bbs/Hip-Hop/M.1555246479.A.64F.html
KarlMarx,3, 4/14,6,音樂   Beast   Coast   –   Left   Hand   ft   一堆 人,/bbs/Hip-Hop/M.1555252530.A.C32.html
ff760725,6, 4/08,56,問題   求 沒 有 酒色 財氣 的 KTV 饒舌 歌曲,/bbs/Hip-Hop/M.1554656808.A.FFD.html
saikong,3, 4/08,1,音樂   台語 新浪潮 2   黃晟翔   公堂 亂,/bbs/Hip-Hop/M.1554690341.A.2BE.html
